"id","siafi_code"
l10n_br_base.city_1200013,0643
l10n_br_base.city_1200054,0157
l10n_br_base.city_1200104,0105
l10n_br_base.city_1200138,0645
l10n_br_base.city_1200179,0647
l10n_br_base.city_1200203,0107
l10n_br_base.city_1200252,0651
l10n_br_base.city_1200302,0113
l10n_br_base.city_1200328,0653
l10n_br_base.city_1200336,0109
l10n_br_base.city_1200344,0155
l10n_br_base.city_1200385,0151
l10n_br_base.city_1200807,0649
l10n_br_base.city_1200393,0657
l10n_br_base.city_1200401,0139
l10n_br_base.city_1200427,0659
l10n_br_base.city_1200435,0661
l10n_br_base.city_1200500,0145
l10n_br_base.city_1200450,0153
l10n_br_base.city_1200609,0147
l10n_br_base.city_1200708,0149
l10n_br_base.city_2700102,2701
l10n_br_base.city_2700201,2703
l10n_br_base.city_2700300,2705
l10n_br_base.city_2700409,2707
l10n_br_base.city_2700508,2709
l10n_br_base.city_2700607,2711
l10n_br_base.city_2700706,2713
l10n_br_base.city_2700805,2715
l10n_br_base.city_2700904,2717
l10n_br_base.city_2701001,2719
l10n_br_base.city_2701100,2721
l10n_br_base.city_2701209,2723
l10n_br_base.city_2701308,2725
l10n_br_base.city_2701357,0560
l10n_br_base.city_2701407,2727
l10n_br_base.city_2701506,2729
l10n_br_base.city_2701605,2731
l10n_br_base.city_2701704,2733
l10n_br_base.city_2701803,2735
l10n_br_base.city_2701902,2737
l10n_br_base.city_2702009,2739
l10n_br_base.city_2702108,2741
l10n_br_base.city_2702207,2743
l10n_br_base.city_2702306,2745
l10n_br_base.city_2702355,2889
l10n_br_base.city_2702405,2747
l10n_br_base.city_2702504,2749
l10n_br_base.city_2702553,2643
l10n_br_base.city_2702603,2751
l10n_br_base.city_2702702,2753
l10n_br_base.city_2702801,2755
l10n_br_base.city_2702900,2757
l10n_br_base.city_2703007,2759
l10n_br_base.city_2703106,2761
l10n_br_base.city_2703205,2763
l10n_br_base.city_2703304,2765
l10n_br_base.city_2703403,2767
l10n_br_base.city_2703502,2769
l10n_br_base.city_2703601,2771
l10n_br_base.city_2703700,2773
l10n_br_base.city_2703759,0562
l10n_br_base.city_2703809,2775
l10n_br_base.city_2703908,2777
l10n_br_base.city_2704005,2779
l10n_br_base.city_2704104,2781
l10n_br_base.city_2704203,2783
l10n_br_base.city_2704302,2785
l10n_br_base.city_2704401,2787
l10n_br_base.city_2704906,2797
l10n_br_base.city_2704500,2789
l10n_br_base.city_2704609,2791
l10n_br_base.city_2704708,2793
l10n_br_base.city_2704807,2795
l10n_br_base.city_2705002,2799
l10n_br_base.city_2705101,2801
l10n_br_base.city_2705200,2803
l10n_br_base.city_2705309,2805
l10n_br_base.city_2705408,2807
l10n_br_base.city_2705507,2809
l10n_br_base.city_2705606,2811
l10n_br_base.city_2705705,2813
l10n_br_base.city_2705804,2815
l10n_br_base.city_2705903,2817
l10n_br_base.city_2706000,2819
l10n_br_base.city_2706109,2821
l10n_br_base.city_2706208,2823
l10n_br_base.city_2706307,2825
l10n_br_base.city_2706406,2827
l10n_br_base.city_2706422,2645
l10n_br_base.city_2706448,2641
l10n_br_base.city_2706505,2829
l10n_br_base.city_2706604,2831
l10n_br_base.city_2706703,2833
l10n_br_base.city_2706802,2835
l10n_br_base.city_2706901,2837
l10n_br_base.city_2707008,2839
l10n_br_base.city_2707107,2841
l10n_br_base.city_2707206,2843
l10n_br_base.city_2707305,2845
l10n_br_base.city_2707404,2847
l10n_br_base.city_2707503,2849
l10n_br_base.city_2707602,2851
l10n_br_base.city_2707701,2853
l10n_br_base.city_2707800,2855
l10n_br_base.city_2707909,2857
l10n_br_base.city_2708006,2859
l10n_br_base.city_2708105,2861
l10n_br_base.city_2708204,2863
l10n_br_base.city_2708303,2865
l10n_br_base.city_2708402,2867
l10n_br_base.city_2708501,2869
l10n_br_base.city_2708600,2871
l10n_br_base.city_2708709,2873
l10n_br_base.city_2708808,2875
l10n_br_base.city_2708907,2877
l10n_br_base.city_2708956,2891
l10n_br_base.city_2709004,2879
l10n_br_base.city_2709103,2881
l10n_br_base.city_2709152,0971
l10n_br_base.city_2709202,2883
l10n_br_base.city_2709301,2885
l10n_br_base.city_2709400,2887
l10n_br_base.city_1300029,0289
l10n_br_base.city_1300060,0291
l10n_br_base.city_1300086,0293
l10n_br_base.city_1300102,0203
l10n_br_base.city_1300144,0969
l10n_br_base.city_1300201,0205
l10n_br_base.city_1300300,0207
l10n_br_base.city_1300409,0209
l10n_br_base.city_1300508,0211
l10n_br_base.city_1300607,0213
l10n_br_base.city_1300631,0295
l10n_br_base.city_1300680,0297
l10n_br_base.city_1300706,0215
l10n_br_base.city_1300805,0217
l10n_br_base.city_1300839,0299
l10n_br_base.city_1300904,0219
l10n_br_base.city_1301001,0221
l10n_br_base.city_1301100,0223
l10n_br_base.city_1301159,0965
l10n_br_base.city_1301209,0225
l10n_br_base.city_1301308,0227
l10n_br_base.city_1301407,0229
l10n_br_base.city_1301506,0231
l10n_br_base.city_1301605,0233
l10n_br_base.city_1301654,0967
l10n_br_base.city_1301704,0235
l10n_br_base.city_1301803,0239
l10n_br_base.city_1301852,9835
l10n_br_base.city_1301902,0241
